Name,India Risk Level,MstarId,,
Axis Banking Debt Fund - Bonus Option,Moderate Low Risk,F00000VKTH,,
Axis Banking Debt Fund Dir Bns,Moderate Low Risk,F00000TX0M,,
Axis Banking Debt Fund Dir Dl Div,Moderate Low Risk,F00000PCQC,,
Axis Banking Debt Fund Dir Gr,Moderate Low Risk,F00000PCQD,,
Axis Banking Debt Fund Dir Mn Div,Moderate Low Risk,F00000PKS3,,
Axis Banking Debt Fund Dir Wk Div,Moderate Low Risk,F00000PFL6,,
Axis Banking Debt Fund Dl Div,Moderate Low Risk,F00000OBM7,,
Axis Banking Debt Fund Gr,Moderate Low Risk,F00000OBM6,,
Axis Banking Debt Fund Mn Div,Moderate Low Risk,F00000OBM9,,
Axis Banking Debt Fund Wk Div,Moderate Low Risk,F00000OBM8,,
Axis Children's Gift Dir Loc in Div,Moderate High Risk,F00000WNYL,,
Axis Children's Gift Dir Loc in Gr,Moderate High Risk,F00000WNYK,,
Axis Children's Gift Dir No Loc in Div,Moderate High Risk,F00000WNYN,,
Axis Children's Gift Dir No Loc in Gr,Moderate High Risk,F00000WNYM,,
Axis Children's Gift Reg Loc in Div,Moderate High Risk,F00000WNYH,,
Axis Children's Gift Reg Loc in Gr,Moderate High Risk,F00000WNYG,,
Axis Children's Gift Reg No Loc in Div,Moderate High Risk,F00000WNYJ,,
Axis Children's Gift Reg No Loc in Gr,Moderate High Risk,F00000WNYI,,
Axis Constant Maturity 10 Yr Dir Bns,Moderate Risk,F00000VU32,,
Axis Constant Maturity 10 Yr Dir Gr,Moderate Risk,F00000PDLQ,,
Axis Constant Maturity 10 Yr Dir HY Div,Moderate Risk,F00000QC2Q,,
Axis Constant Maturity 10 Yr Dir Reg Div,Moderate Risk,F00000PDLT,,
Axis Constant Maturity 10 Yr Fund Gr,Moderate Risk,F00000NL7Z,,
Axis Constant Maturity 10 Yr Fund HY Div,Moderate Risk,F00000NL81,,
Axis Constant Maturity 10 Yr Reg Div,Moderate Risk,F00000NL80,,
Axis Dynamic Bond Dir Gr,Low Risk,F00000PDLW,,
Axis Dynamic Bond Dir HY Div,Low Risk,F00000Q9WR,,
Axis Dynamic Bond Dir Qt Div,Low Risk,F00000PDLZ,,
Axis Dynamic Bond Gr,Low Risk,F00000MI0V,,
Axis Dynamic Bond HY Div,Low Risk,F00000MI0X,,
Axis Dynamic Bond Qt Div,Low Risk,F00000MI0W,,
Axis Enhanced Arbitrage Dir Div,Moderate Risk,F00000U562,,
Axis Enhanced Arbitrage Dir Gr,Moderate Risk,F00000U561,,
Axis Enhanced Arbitrage Reg Div,Moderate Risk,F00000U560,,
Axis Enhanced Arbitrage Reg Gr,Moderate Risk,F00000U55Z,,
Axis Equity Dir Div,Moderate High Risk,F00000PDM2,,
Axis Equity Dir Gr,Moderate High Risk,F00000PDM3,,
Axis Equity Div,Moderate High Risk,F000005HB6,,
Axis Equity Gr,Moderate High Risk,F000005HAY,,
Axis Equity Saver Dir Gr,Moderate High Risk,F00000W7Y9,,
Axis Equity Saver Dir Mn Div,Moderate High Risk,F00000W7YA,,
Axis Equity Saver Dir Qly Div,Moderate High Risk,F00000W7YB,,
Axis Equity Saver Reg Gr,Moderate High Risk,F00000W7YC,,
Axis Equity Saver Reg Mn Div,Moderate High Risk,F00000W7YD,,
Axis Equity Saver Reg Qly Div,Moderate High Risk,F00000W7YE,,
