Name,India Risk Level,MstarId,,
Axis Fixed Income Opp Fund Dir Gr,Moderate Risk,F00000TXFV,,
Axis Fixed Income Opp Fund Dir Mn Div,Moderate Risk,F00000TXFW,,
Axis Fixed Income Opp Fund Dir Wk Div,Moderate Risk,F00000TXFX,,
Axis Fixed Income Opp Fund Reg Gr,Moderate Risk,F00000TXFS,,
Axis Fixed Income Opp Fund Reg Mn Div,Moderate Risk,F00000TXFT,,
Axis Fixed Income Opp Fund Reg Wk Div,Moderate Risk,F00000TXFU,,
Axis Focused 25 Dir Div,Moderate High Risk,F00000PDM6,,
Axis Focused 25 Dir Gr,Moderate High Risk,F00000PDM9,,
Axis Focused 25 Div,Moderate High Risk,F00000ODK2,,
Axis Focused 25 Gr,Moderate High Risk,F00000ODK1,,
Axis Gold Dir Div,Moderate Risk,F00000PDMC,,
Axis Gold Dir Gr,Moderate Risk,F00000PDMF,,
Axis Gold Div,Moderate Risk,F00000N3GF,,
Axis Gold Gr,Moderate Risk,F00000N3GE,,
Axis Income Bns,Low Risk,F00000V3XA,,
Axis Income Dir Gr,Low Risk,F00000PDMH,,
Axis Income Dir HY Div,Low Risk,F00000VZXB,,
Axis Income Dir Qt Div,Low Risk,F00000PFLR,,
Axis Income Gr,Low Risk,F00000NYIK,,
Axis Income HY Div,Low Risk,F00000NYIP,,
Axis Income Qt Div,Low Risk,F00000NYIO,,
Axis Income Saver Ann Div,Moderate Risk,F00000IRGL,,
Axis Income Saver Dir Ann Div,Moderate Risk,F00000QFJB,,
Axis Income Saver Dir Gr,Moderate Risk,F00000PDMJ,,
Axis Income Saver Dir Half Yearly,Moderate Risk,F00000Q4GR,,
Axis Income Saver Dir Qtly Div,Moderate Risk,F00000PFE6,,
Axis Income Saver Gr,Moderate Risk,F00000IRGI,,
Axis Income Saver HY Div,Moderate Risk,F00000IRGK,,
Axis Income Saver Qtly Div,Moderate Risk,F00000IRGJ,,
Axis L/T Equity Dir Div,Moderate High Risk,F00000PDMM,,
Axis L/T Equity Dir Gr,Moderate High Risk,F00000PDMP,,
Axis L/T Equity Div,Moderate High Risk,F000005NTY,,
Axis L/T Equity Gr,Moderate High Risk,F000005NTX,,
Axis Liquid Dir Bns,Low Risk,F00000TF9C,,
Axis Liquid Dir Dl Div,Low Risk,F00000PDMQ,,
Axis Liquid Dir Gr,Low Risk,F00000PDMT,,
Axis Liquid Dir Mn Div,Low Risk,F00000PHJK,,
Axis Liquid Dl Div,Low Risk,F0000045LA,,
Axis Liquid Fund Dir Wk Div,Low Risk,F00000PI73,,
Axis Liquid Gr,Low Risk,F0000045L7,,
Axis Liquid Mn Div,Low Risk,F0000045L9,,
Axis Liquid Retl Dl Div,Low Risk,F00000GZUE,,
Axis Liquid Retl Gr,Low Risk,F00000GZUF,,
Axis Liquid Retl Mn Div,Low Risk,F00000GZUG,,
Axis Liquid Retl Wk Div,Low Risk,F00000GZUH,,
Axis Liquid Wk Div,Low Risk,F0000045L8,,
Axis Midcap Dir Div,Moderate High Risk,F00000PDMW,,
Axis Midcap Dir Gr,Moderate High Risk,F00000PDMZ,,
Axis Midcap Div,Moderate High Risk,F00000MGCH,,
Axis Midcap Gr,Moderate High Risk,F00000MGCI,,
Axis S/T Bns,Moderate Low Risk,F00000U1W6,,
Axis S/T Dir Div,Moderate Low Risk,F00000VDOY,,
Axis S/T Dir Gr,Moderate Low Risk,F00000PDN3,,
Axis S/T Dir Mn Div,Moderate Low Risk,F00000PFL8,,
Axis S/T Dir Reg Div,Moderate Low Risk,F00000PDN1,,
Axis S/T Gr,Moderate Low Risk,F000005OEF,,
Axis S/T Mn Div,Moderate Low Risk,F000005OEG,,
Axis S/T Reg Div,Moderate Low Risk,F00000VD4V,,
Axis S/T Reg Wk Div,Moderate Low Risk,F00000GV6J,,
Axis S/T Retl Gr,Moderate Low Risk,F00000GZUI,,
Axis S/T Retl Mn Div,Moderate Low Risk,F00000GZUJ,,
Axis S/T Retl Reg Div,Moderate Low Risk,F00000GZUK,,
Axis Triple Adv Dir Div,Moderate High Risk,F00000PDN6,,
Axis Triple Adv Dir Gr,Moderate High Risk,F00000PDN9,,
Axis Triple Adv Div,Moderate High Risk,F00000J3Q7,,
Axis Triple Adv Gr,Moderate High Risk,F00000J3Q6,,
Axis Trs Adv Dir Bns,Moderate Low Risk,F00000TP8Q,,
Axis Trs Adv Dir Dl Div,Moderate Low Risk,F00000PDNB,,
Axis Trs Adv Dir Gr,Moderate Low Risk,F00000PDND,,
Axis Trs Adv Dir Mn Div,Moderate Low Risk,F00000PDNE,,
Axis Trs Adv Dir Wk Div,Moderate Low Risk,F00000PDNF,,
Axis Trs Adv Dl Div,Moderate Low Risk,F0000045L5,,
Axis Trs Adv Gr,Moderate Low Risk,F0000045GW,,
Axis Trs Adv Instl Wk Div,Moderate Low Risk,F0000045LI,,
Axis Trs Adv Mn Div,Moderate Low Risk,F0000045LG,,
Axis Trs Adv Retl Dl Div,Moderate Low Risk,F00000H033,,
Axis Trs Adv Retl Gr,Moderate Low Risk,F00000H034,,
Axis Trs Adv Retl Mn Div,Moderate Low Risk,F00000H035,,
Axis Trs Adv Retl Wk Div,Moderate Low Risk,F00000H036,,
Baroda Pioneer Balance A Bns,Moderate High Risk,F00000UNW8,,
Baroda Pioneer Balance A Div,Moderate High Risk,F0GBR06SA6,,
Baroda Pioneer Balance A Gr,Moderate High Risk,F0GBR06SA7,,
Baroda Pioneer Balance B Dir Div,Moderate High Risk,F00000PG75,,
Baroda Pioneer Balance B Dir Gr,Moderate High Risk,F00000PDNG,,
Baroda Pioneer Banking & Fin Srv Dir Bns,High Risk,F00000VQ2V,,
Baroda Pioneer Banking & Fin Srvs Bns,High Risk,F00000TJMI,,
Baroda Pioneer Banking & Fin Srvs Dir Dv,High Risk,F00000PDNH,,
Baroda Pioneer Banking & Fin Srvs Dir Gr,High Risk,F00000PDNI,,
Baroda Pioneer Banking & Fin Srvs Dv,High Risk,F00000OD2Q,,
Baroda Pioneer Banking & Fin Srvs Gr,High Risk,F00000OD2P,,
Baroda Pioneer Credit Opp A Reg Gr,Moderate Risk,F00000V9U0,,
Baroda Pioneer Credit Opp A Reg Mn Div,Moderate Risk,F00000V9U1,,
Baroda Pioneer Credit Opp A Reg Qt Div,Moderate Risk,F00000V9U6,,
Baroda Pioneer Credit Opp B Dir Bns,Moderate Risk,F00000V9U5,,
Baroda Pioneer Credit Opp B Dir Gr,Moderate Risk,F00000V9U3,,
Baroda Pioneer Credit Opp B Dir Mn Div,Moderate Risk,F00000V9U4,,
Baroda Pioneer Credit Opp B Dir Qt Div,Moderate Risk,F00000V9U7,,
Baroda Pioneer Dynamic Bond Dir Div,Moderate Risk,F00000PDNJ,,
Baroda Pioneer Dynamic Bond Dir Gr,Moderate Risk,F00000PDNK,,
Baroda Pioneer Dynamic Bond Div,Moderate Risk,F00000OEYQ,,
Baroda Pioneer Dynamic Bond Gr,Moderate Risk,F00000OEYP,,
Baroda Pioneer ELSS 96 A Gr,Moderate High Risk,F00000VEYE,,
Baroda Pioneer ELSS 96 B Dir Gr,Moderate High Risk,F00000VFLH,,
Baroda Pioneer ELSS 96 Dir Div,Moderate High Risk,F00000PDNL,,
Baroda Pioneer ELSS 96 Div,Moderate High Risk,F0GBR06SAC,,
Baroda Pioneer ELSS 96 Plan A Bonus,Moderate High Risk,F00000SFE3,,
Baroda Pioneer ELSS 96 Plan B Dir Bonus,Moderate High Risk,F00000SVME,,
Baroda Pioneer Gilt Dir Div,Moderate Risk,F00000PFL7,,
Baroda Pioneer Gilt Dir Gr,Moderate Risk,F00000PDNM,,
Baroda Pioneer Gilt Div,Moderate Risk,F0GBR06SAE,,
Baroda Pioneer Gilt Gr,Moderate Risk,F0GBR06SAF,,
Baroda Pioneer Growth Dir Div,Moderate High Risk,F00000PDNN,,
Baroda Pioneer Growth Dir Gr,Moderate High Risk,F00000PDNO,,
Baroda Pioneer Growth Div,Moderate High Risk,F0GBR06SAH,,
Baroda Pioneer Growth Gr,Moderate High Risk,F0GBR06SAI,,
Baroda Pioneer Income Dir Div,Moderate Risk,F00000WTT2,,
Baroda Pioneer Income Dir Gr,Moderate Risk,F00000PDNP,,
Baroda Pioneer Income Div,Moderate Risk,F0GBR06SAN,,
Baroda Pioneer Income Gr,Moderate Risk,F0GBR06SAK,,
Baroda Pioneer Infrastructure A Div,High Risk,F00000HH5S,,
Baroda Pioneer Infrastructure A Gr,High Risk,F00000HH5R,,
Baroda Pioneer Infrastructure B Dir Div,High Risk,F00000PDNQ,,
Baroda Pioneer Infrastructure B Dir Gr,High Risk,F00000PE5X,,
Baroda Pioneer Liquid Dir Bns,Low Risk,F00000THTQ,,
Baroda Pioneer Liquid Dir Dl Div,Low Risk,F00000PDNR,,
Baroda Pioneer Liquid Dir Gr,Low Risk,F00000PDNS,,
Baroda Pioneer Liquid Div,Low Risk,F0GBR06SAL,,
Baroda Pioneer Liquid Instl Dir Wk Div,Low Risk,F00000PH23,,
Baroda Pioneer Liquid Instl Dl Div,Low Risk,F000002QYW,,
Baroda Pioneer Liquid Instl Gr,Low Risk,F000002QYU,,
Baroda Pioneer Liquid Instl Mn Div,Low Risk,F000002QYQ,,
Baroda Pioneer Liquid Instl Wk Div,Low Risk,F000002QYO,,
Baroda Pioneer Liquid Ret Dl Div,Low Risk,F0GBR06SAJ,,
Baroda Pioneer Liquid Ret Gr,Low Risk,F0GBR06SAM,,
Baroda Pioneer MIP Dir Gr,Moderate Risk,F00000PDNT,,
Baroda Pioneer MIP Dir Mn Div,Moderate Risk,F00000PFLA,,
Baroda Pioneer MIP Dir Qt Div,Moderate Risk,F00000U3AE,,
Baroda Pioneer MIP Gr,Moderate Risk,F0GBR06SAP,,
Baroda Pioneer MIP Mn Div,Moderate Risk,F0GBR06SAO,,
Baroda Pioneer MIP Qt Div,Moderate Risk,F0GBR06SAQ,,
Baroda Pioneer PSU Equity Dir Div,High Risk,F00000TH91,,
Baroda Pioneer PSU Equity Dir Gr,High Risk,F00000PDNW,,
Baroda Pioneer PSU Equity Div,High Risk,F00000JS2M,,
Baroda Pioneer PSU Equity Gr,High Risk,F00000JS2L,,
Baroda Pioneer S/T Bond Dir Div,Moderate Low Risk,F00000PDNX,,
Baroda Pioneer S/T Bond Dir Gr,Moderate Low Risk,F00000PE48,,
Baroda Pioneer S/T Bond Div,Moderate Low Risk,F00000IT0S,,
Baroda Pioneer S/T Bond Gr,Moderate Low Risk,F00000IT0R,,
Baroda Pioneer Trs Adv Dir Dl Div,Moderate Low Risk,F00000PDNY,,
Baroda Pioneer Trs Adv Dir Gr,Moderate Low Risk,F00000PDNZ,,
Baroda Pioneer Trs Adv Dir Mn Div,Moderate Low Risk,F00000PH25,,
Baroda Pioneer Trs Adv Dir Wk Div,Moderate Low Risk,F00000PH26,,
Baroda Pioneer Trs Adv Dl Div,Moderate Low Risk,F000003WEK,,
Baroda Pioneer Trs Adv Gr,Moderate Low Risk,F000003WEJ,,
Baroda Pioneer Trs Adv Mn Div,Moderate Low Risk,F000003WEM,,
Baroda Pioneer Trs Adv Pl A Reg Bns,Moderate Low Risk,F00000VI07,,
Baroda Pioneer Trs Adv Pl B Dir Bns,Moderate Low Risk,F00000VI08,,
Baroda Pioneer Trs Adv Pl B Dir Qtr Div,Moderate Low Risk,F00000Q8RD,,
Baroda Pioneer Trs Adv Plan A Qt Div,Moderate Low Risk,F00000PH2E,,
Baroda Pioneer Trs Adv Reg Dl Div,Moderate Low Risk,F000003WEF,,
Baroda Pioneer Trs Adv Reg Gr,Moderate Low Risk,F000003WEE,,
Baroda Pioneer Trs Adv Reg Mn Div,Moderate Low Risk,F000003WEH,,
Baroda Pioneer Trs Adv Reg Qt Div,Moderate Low Risk,F000003WEI,,
Baroda Pioneer Trs Adv Reg Wk Div,Moderate Low Risk,F000003WEG,,
Baroda Pioneer Trs Adv Wk Div,Moderate Low Risk,F000003WEL,,
Birla Sun Life Act Dt Mt Mgr FoF Dir Div,Moderate Risk,F00000PCUT,,
Birla Sun Life Act Dt Mt Mgr FoF Dir Gr,Moderate Risk,F00000PCUS,,
Birla Sun Life Act Dt Mt Mgr FoF Div,Moderate Risk,F000000FWA,,
Birla Sun Life Act Dt Mt Mgr FoF Gr,Moderate Risk,F000000FWJ,,
Birla Sun Life Advantage Dir Div,Moderate High Risk,F00000PDO2,,
Birla Sun Life Advantage Dir Gr,Moderate High Risk,F00000PDO3,,
Birla Sun Life Advantage Div,Moderate High Risk,F0GBR06S5Z,,
Birla Sun Life Advantage Gr,Moderate High Risk,F0GBR06S60,,
Birla Sun Life As All Mt Mgr FoF Dir Div,Moderate High Risk,F00000PCUV,,
Birla Sun Life As All Mt Mgr FoF Dir Gr,Moderate High Risk,F00000PCUU,,
Birla Sun Life As All Mti Mgr FoF Div,Moderate High Risk,F000000C7O,,
Birla Sun Life As All Mti Mgr FoF Gr,Moderate High Risk,F000000CGU,,
Birla Sun Life Bal 95 Dir Div,Moderate High Risk,F00000PDO0,,
Birla Sun Life Bal 95 Dir Gr,Moderate High Risk,F00000PDO1,,
Birla Sun Life Bal 95 Div,Moderate High Risk,F0GBR06S93,,
Birla Sun Life Bal 95 Gr,Moderate High Risk,F0GBR06S95,,
Birla Sun Life Bkng & Fin Srvcs Dir Div,High Risk,F00000SCE4,,
Birla Sun Life Bkng & Fin Srvcs Dir Gr,High Risk,F00000SCE1,,
Birla Sun Life Bkng & Fin Srvcs Reg Div,High Risk,F00000SCDZ,,
Birla Sun Life Bkng & Fin Srvcs Reg Gr,High Risk,F00000SCDV,,
Birla Sun Life Cash Mgr Dir Dl Div,Moderate Low Risk,F00000PDOC,,
Birla Sun Life Cash Mgr Dir Gr,Moderate Low Risk,F00000PDOD,,
Birla Sun Life Cash Mgr Dir Wk Div,Moderate Low Risk,F00000PDOE,,
Birla Sun Life Cash Mgr Instl Dl Div,Moderate Low Risk,F0GBR06S9D,,
Birla Sun Life Cash Mgr Instl Gr,Moderate Low Risk,F0GBR06S9E,,
Birla Sun Life Cash Mgr Instl Wk Div,Moderate Low Risk,F0GBR06S9C,,
Birla Sun Life Cash Mgr Reg Dl Div,Moderate Low Risk,F00000NS2E,,
Birla Sun Life Cash Mgr Reg Gr,Moderate Low Risk,F0GBR06S9B,,
Birla Sun Life Cash Mgr Reg Wk Div,Moderate Low Risk,F0GBR06S9F,,
Birla Sun Life Cash Plus DAP Gr,Low Risk,F000003U9H,,
Birla Sun Life Cash Plus Dir Div,Low Risk,F00000PQ1C,,
Birla Sun Life Cash Plus Dir Dl Div,Low Risk,F00000PDOF,,
Birla Sun Life Cash Plus Dir Gr,Low Risk,F00000PDOG,,
Birla Sun Life Cash Plus Dir Wk Div,Low Risk,F00000PDOH,,
Birla Sun Life Cash Plus Instl Dl Div,Low Risk,F0GBR06S69,,
Birla Sun Life Cash Plus Instl Gr,Low Risk,F0GBR06S6B,,
Birla Sun Life Cash Plus Instl Wk Div,Low Risk,F0GBR06S6C,,
Birla Sun Life Cash Plus Reg Div,Low Risk,F00000WTWR,,
Birla Sun Life Cash Plus Reg Dl Div,Low Risk,F0GBR06S6D,,
Birla Sun Life Cash Plus Reg Gr,Low Risk,F0GBR06S6F,,
Birla Sun Life Cash Plus Reg Wk Div,Low Risk,F0GBR06S6H,,
Birla Sun Life Cash Plus Retl Dl Div,Low Risk,F0GBR06S6I,,
Birla Sun Life Cash Plus Retl Gr,Low Risk,F0GBR06S6J,,
Birla Sun Life Cmdty Eq Glbl Agri Div,High Risk,F000002E9A,,
Birla Sun Life Cmdty Eq Glbl Agri Gr,High Risk,F000002ECD,,
Birla Sun Life Comm Eq Gbl Agri Dir Div,High Risk,F00000PDOI,,
Birla Sun Life Comm Eq Gbl Agri Dir Gr,High Risk,F00000PDOJ,,
Birla Sun Life Con Mt 10Y Gilt Dir Gr,Moderate Risk,F00000PDP6,,
Birla Sun Life Con Mt 10Y Gilt Dir Qt Dv,Moderate Risk,F00000PDP7,,
Birla Sun Life Con Mt 10Y Gilt Reg Gr,Moderate Risk,F0GBR06S8I,,
Birla Sun Life Con Mt 10Y Gilt Reg Qt Dv,Moderate Risk,F0GBR06S8H,,
Birla Sun Life Corporate Bond Dir Bns,Moderate Risk,F00000VPXZ,,
Birla Sun Life Corporate Bond Dir Div,Moderate Risk,F00000VPXY,,
Birla Sun Life Corporate Bond Dir Gr,Moderate Risk,F00000VPXX,,
Birla Sun Life Corporate Bond Reg Bns,Moderate Risk,F00000VPXW,,
Birla Sun Life Corporate Bond Reg Div,Moderate Risk,F00000VPXV,,
Birla Sun Life Corporate Bond Reg Gr,Moderate Risk,F00000VPXU,,
Birla Sun Life Div Yield Plus Dir Div,Moderate High Risk,F00000PDOO,,
Birla Sun Life Div Yield Plus Dir Gr,Moderate High Risk,F00000PDOP,,
Birla Sun Life Div Yield Plus Div,Moderate High Risk,F0GBR06S6M,,
Birla Sun Life Div Yield Plus Gr,Moderate High Risk,F0GBR06S6N,,
Birla Sun Life Dyn Ass Alloc Dir Div,Moderate High Risk,F00000PCUX,,
Birla Sun Life Dyn Ass Alloc Dir Gr,Moderate High Risk,F00000PCUW,,
Birla Sun Life Dyn Ass Alloc Div,Moderate High Risk,F0GBR06RQW,,
Birla Sun Life Dyn Ass Alloc Gr,Moderate High Risk,F0GBR06RQX,,
Birla Sun Life Dynamic Bond DAP,Moderate Risk,F000002QYM,,
Birla Sun Life Dynamic Bond Dir Div,Moderate Risk,F00000V80D,,
Birla Sun Life Dynamic Bond Dir Gr,Moderate Risk,F00000PDOQ,,
Birla Sun Life Dynamic Bond Dir Mn Div,Moderate Risk,F00000PDOR,,
Birla Sun Life Dynamic Bond Dir Qt Div,Moderate Risk,F00000PDOS,,
Birla Sun Life Dynamic Bond Reg Div,Moderate Risk,F00000UQGX,,
Birla Sun Life Dynamic Bond Reg Gr,Moderate Risk,F0GBR06S6L,,
Birla Sun Life Dynamic Bond Reg Mn Div,Moderate Risk,F000002R3F,,
Birla Sun Life Dynamic Bond Reg Qt Div,Moderate Risk,F0GBR06S6K,,
Birla Sun Life Enhanced Arbitrage Dir Dv,Moderate Risk,F00000Q7HU,,
Birla Sun Life Enhanced Arbitrage Dir Gr,Moderate Risk,F00000PDOT,,
Birla Sun Life Enhanced Arbitrage Div,Moderate Risk,F0000043M0,,
Birla Sun Life Enhanced Arbitrage Gr,Moderate Risk,F0000043LZ,,
Birla Sun Life Eq Svgs Dir Div,Moderate High Risk,F00000V2KG,,
Birla Sun Life Eq Svgs Dir Gr,Moderate High Risk,F00000V2KF,,
Birla Sun Life Eq Svgs Reg Div,Moderate High Risk,F00000V2KE,,
Birla Sun Life Eq Svgs Reg Gr,Moderate High Risk,F00000V2KD,,
Birla Sun Life Equity Dir Div,Moderate High Risk,F00000PDOU,,
Birla Sun Life Equity Dir Gr,Moderate High Risk,F00000PDOV,,
Birla Sun Life Equity Div,Moderate High Risk,F0GBR06S9G,,
Birla Sun Life Equity Gr,Moderate High Risk,F0GBR06S9H,,
Birla Sun Life Finl FOF Pl Cons Dir Div,Moderate Risk,F00000PCV7,,
Birla Sun Life Finl FOF Pl Cons Dir Gr,Moderate Risk,F00000PCV6,,
Birla Sun Life Finl FOF Pl Cons Div,Moderate Risk,F00000MI9D,,
Birla Sun Life Finl FOF Pl Cons Gr,Moderate Risk,F00000MI9C,,
Birla Sun Life Finl FOF Pln Agg Dir Div,Moderate High Risk,F00000PCV3,,
Birla Sun Life Finl FOF Pln Agg Dir Gr,Moderate High Risk,F00000PCV2,,
Birla Sun Life Finl FOF Pln Agg Div,Moderate High Risk,F00000MI9H,,
Birla Sun Life Finl FOF Pln Agg Gr,Moderate High Risk,F00000MI9G,,
Birla Sun Life Finl FOF Pln Pru Dir Div,Moderate High Risk,F00000PCV9,,
Birla Sun Life Finl FOF Pln Pru Dir Gr,Moderate High Risk,F00000PCV8,,
Birla Sun Life Finl FOF Pln Pru Div,Moderate High Risk,F00000MI9F,,
Birla Sun Life Finl FOF Pln Pru Gr,Moderate High Risk,F00000MI9E,,
Birla Sun Life FRF L/T Dir Dl Div,Moderate Low Risk,F00000PDOW,,
Birla Sun Life FRF L/T Dir Gr,Moderate Low Risk,F00000PDOX,,
Birla Sun Life FRF L/T Dir Wk Div,Moderate Low Risk,F00000PDOY,,
Birla Sun Life FRF L/T Reg Dl Div,Moderate Low Risk,F00000NN00,,
Birla Sun Life FRF L/T Reg Gr,Moderate Low Risk,F000002R3H,,
Birla Sun Life FRF L/T Reg Wk Div,Moderate Low Risk,F000002R33,,
Birla Sun Life FRF L/T Retl Gr,Moderate Low Risk,F0GBR06S71,,
Birla Sun Life FRF L/T Retl Wk Div,Moderate Low Risk,F000000IHL,,
Birla Sun Life FRF S/T Dir Dl Div,Low Risk,F00000PDOZ,,
Birla Sun Life FRF S/T Dir Gr,Low Risk,F00000PDP0,,
Birla Sun Life FRF S/T Dir Wk Div,Low Risk,F00000PDP1,,
Birla Sun Life FRF S/T Reg Dl Div,Low Risk,F0GBR06S75,,
Birla Sun Life FRF S/T Reg Gr,Low Risk,F0GBR06S77,,
Birla Sun Life FRF S/T Reg Wk Div,Low Risk,F0GBR06S78,,
Birla Sun Life FRF S/T Retl Dl Div,Low Risk,F0GBR06S74,,
Birla Sun Life FRF S/T Retl Gr,Low Risk,F0GBR06S79,,
Birla Sun Life FRF S/T Retl Wk Div,Low Risk,F0GBR06S7A,,
Birla Sun Life Frontline Equity Dir Div,Moderate High Risk,F00000PDP2,,
Birla Sun Life Frontline Equity Dir Gr,Moderate High Risk,F00000PDP3,,
Birla Sun Life Frontline Equity Div,Moderate High Risk,F0GBR06S9I,,
Birla Sun Life Frontline Equity Gr,Moderate High Risk,F0GBR06S9J,,
Birla Sun Life Gilt Plus PF Dir Gr,Moderate Risk,F00000PDPB,,
Birla Sun Life Gilt Plus PF Dir Qt Div,Moderate Risk,F00000PDPC,,
Birla Sun Life Gilt Plus PF Reg Gr,Moderate Risk,F0GBR06S8D,,
Birla Sun Life Gilt Plus PF Reg Qt Div,Moderate Risk,F0GBR06S8G,,
Birla Sun Life Glb Real Est Div,High Risk,F000001A2V,,
Birla Sun Life Glb Real Est Gr,High Risk,F000001A2T,,
Birla Sun Life Glb Real Est Retl Dir Div,High Risk,F00000PCVG,,
Birla Sun Life Glb Real Est Retl Dir Gr,High Risk,F00000PCVJ,,
Birla Sun Life Global Comm Dir Div,High Risk,F00000PCVE,,
Birla Sun Life Global Comm Dir Gr,High Risk,F00000PCVH,,
Birla Sun Life Global Comm Div,High Risk,F000002EJ5,,
Birla Sun Life Global Comm Gr,High Risk,F000002EJB,,
Birla Sun Life Gold Fund Dir Div,Moderate High Risk,F00000PDPD,,
Birla Sun Life Gold Fund Dir Gr,Moderate High Risk,F00000PDPE,,
Birla Sun Life Gold Fund Div,Moderate High Risk,F00000NYHG,,
Birla Sun Life Gold Fund Gr,Moderate High Risk,F00000NYHF,,
Birla Sun Life Gov Sec L/T Dir Div,Moderate Risk,F00000VAV3,,
Birla Sun Life Gov Sec L/T Dir Gr,Moderate Risk,F00000PDPG,,
Birla Sun Life Gov Sec L/T Dir HY Div,Moderate Risk,F00000PDPF,,
Birla Sun Life Gov Sec L/T Div,Moderate Risk,F00000V6RT,,
Birla Sun Life Gov Sec L/T Gr,Moderate Risk,F0GBR06S9L,,
Birla Sun Life Gov Sec L/T HY Div,Moderate Risk,F0GBR06S9K,,
Birla Sun Life Income Plus DAP,Moderate Risk,F000002R39,,
Birla Sun Life Income Plus Dir Div,Moderate Risk,F00000VE0M,,
Birla Sun Life Income Plus Dir Gr,Moderate Risk,F00000PDPI,,
Birla Sun Life Income Plus Dir Qt Div,Moderate Risk,F00000PDPJ,,
Birla Sun Life Income Plus Reg Div,Moderate Risk,F00000VDOZ,,
Birla Sun Life Income Plus Reg Gr,Moderate Risk,F0GBR06S8J,,
Birla Sun Life Income Plus Reg Qt Div,Moderate Risk,F0GBR06S8K,,
Birla Sun Life Index Dir Div,Moderate High Risk,F00000PDPK,,
Birla Sun Life Index Dir Gr,Moderate High Risk,F00000PDPL,,
Birla Sun Life Index Div,Moderate High Risk,F0GBR06S8L,,
Birla Sun Life Index Gr,Moderate High Risk,F0GBR06S8M,,
Birla Sun Life India GenNext Dir Div,High Risk,F00000PDP4,,
Birla Sun Life India GenNext Dir Gr,High Risk,F00000PDP5,,
