mstar_id,image_url 
F00000274M,Reliance_Gilt_Securities_Fund_Institutional_Plan_Growth.jpg
F0GBR06R27,ICICI_Prudential_Long_Term_Equity_Fund_Tax_Saving_Growth.jpg
F0GBR06S94,Birla_Sunlife_MNC_Fund_Growth.jpg
F0GBR06SI1,Franklin_India_Prima_Plus_Fund_Growth.jpg
F0GBR06S9S,Birla_Sun_Life_Dynamic_Bond_Fund_Growth_lesWJFt.jpg
F0GBR06S63,Birla_Sun_Life_Dynamic_Bond_Fund_Growth_UbIVhcJ.jpg
F00000MI0V,axis.jpg
F0GBR06RXO,Birla_Sun_Life_Dynamic_Bond_Fund_Growth_uLt7ZWK.jpg
F0GBR06SDC,larsen.jpg
F0GBR06R6S,SBI_Magnum_Gilt_Long_Term_Plan_Growth.jpg
F000001A2L,mirae.png
F0GBR06RLO,uti.jpg
F000000IEW,DSP_BlackRock_Tax_Saver_Fund_Growth_Ss4ezOp.jpg
F0GBR06RJI,uti_Fy7LtWS.jpg
F000002R6N,IDFC_Tax_Advantage_ELSS_Fund_-_Regular_Plan_-_Growth.jpg
F0GBR06SEJ,DSP_BlackRock_Tax_Saver_Fund_Growth_OBdoTqu.jpg
F000001AF6,Kotak_Corporate_Bond_-_Standard_Plan_-_Growth.jpg
F0GBR06RJY,UTI_Gilt_Advantage_-_Long_Term_Growth.jpg
F0GBR06SET,DSP_BlackRock_Tax_Saver_Fund_Growth_fYU43fr.jpg
F0GBR06R05,ICICI_Prudential_ST_Gilt_Fund_Growth.jpg
F00000ITZ0,HDFC_Short_term_opportunities_fund.jpg
F000002SSU,Birla_Sun_Life_Dynamic_Bond_Fund_Growth_1TTfHY4.jpg
F000003Z2X,logoreligare.png
F0000020YP,Birla_Sun_Life_Tax_Relief_96_Growth.jpg
F000000C40,Birla_Sun_Life_Tax_Plan_Growth.jpg
F000000I4H,sbi.jpg
F0GBR06RNX,hdfc.jpg
F0GBR06RXN,Kotak_Select_Focus_Fund_wZu2mtW.jpg
F0GBR06SHM,franklin_iXjoLf3.jpg
F0GBR06RBO,sundaram_mutual_fund_190.jpg
F000003WS1,ICICI_Pru_Dynamic_Bond_Growth.jpg
F000000G3Z,Religare_Invesco_Tax_Plan_Growth.jpg
F0GBR06S6L,Birla_Sun_Life_Dynamic_Bond_Fund_Growth.jpg
F0GBR06R5E,Reliance_Tax_Saver_Fund_Growth.jpg
F00000NPFV,ICICI_Prudential_Long_Term_Growth_Fund.jpg
F0GBR06S5L,BNP_Paribas_LT_equity_fund_growth.jpg
F000000CBS,DSP_BlackRock_Tax_Saver_Fund_Growth.jpg
F0GBR06RJG,UTI_Equity_Fund_Growth.jpg
F0GBR06RFX,tata.jpg
F00000H455,Kotak_Select_Focus_Fund_DUmyCrf.jpg
F0GBR06SE4,DSP_BlackRock_Tax_Saver_Fund_Growth_vJ1JMDV.jpg
F000000I3Y,DSP_BlackRock_Tax_Saver_Fund_Growth_oOGnMuv.jpg
F0GBR06SHX,franklin_loc95e5.jpg
F0GBR06SI3,Franklin_India_Smaller_Companies_Fund_Growth.jpg
F00000IRGM,Mirae_Asset_Emerging_Bluechip_Growth.png
F0GBR06RC7,tata_5D2WCQQ.jpg
F0GBR06RBT,sundaram_mutual_fund_190_uGrHUSs.jpg
F0GBR06S9J,Birla_Sun_Life_Frontline_Equity_Fund_Growth.jpg
F0GBR06SA5,Birla_Sun_Life_Top_100_Fund_Growth.jpg
F0GBR06SHN,franklin.jpg
F0GBR06R6F,SBI_Blue_Chip_Fund_Growth.jpg
F000003ZCE,Kotak_Select_Focus_Fund.jpg
F0GBR06S4G,BNP_Paribas_Equity_Fund_Growth.jpg
F00000213G,Birla_Sun_Life_Treasury_Optimizer_Plan_-_Growth_-_Regular_Plan_IrHEhAp.jpg
F000005NTX,Axis_Long_Term_Equity_Growth.jpg
F0GBR06SI5,Franklin_India_Taxshield_Fund_Growth.jpg
 
